id,name,address,city,county,state,zip,plan,specialty,type
4567,A Sadeghian Optometric Inc,1501 Rimpau Ave,Corona,Riverside,CA,92881,CA - Anthem BC,Optometrist,ACO
4568,A Sydney Williams MD,101 S San Mateo Dr,San Mateo,San Mateo,CA,94401,CA - BS of California,Ophthalmology,ACO
4569,A Womans Place A Medcorp,729 Sunrise Ave,Roseville,Placer,CA,95661,CA - BS of California,OB-Gynecology,ACO
4570,"Aaberg ,Thomas,M",8 Kirkham St,San Francisco,San Francisco,CA,94122,CA - Anthem BC,Ophthalmology,ACO
4571,"Aachi ,Venkat,",221 E Hacienda Ave,Campbell,Santa Clara,CA,95008,CA - Anthem BC,Pain Medicine,ACO
4572,"Aachi ,Venkat,",221 E Hacienda Ave,Campbell,Santa Clara,CA,95008,CA - Anthem BC,Physical Medicine & Rehabilitation,ACO
4573,Aadisai Medical Group Inc,5451 La Palma Ave,La Palma,Orange,CA,90623,CA - Anthem BC,Family Practice,ACO
4574,"Aahlad ,Subha,Y",1295 E Hillsdale Blvd,Foster City,San Mateo,CA,94404,CA - Anthem BC,Pediatrics,ACO
4575,"Aaker ,Justin,D",520 Superior Ave,Newport Beach,Orange,CA,92663,CA - Anthem BC,Ophthalmology,ACO
4576,Aarchan Joshi MD Inc,520 N Prospect Ave,Redondo Beach,Los Angeles,CA,90277,CA - BS of California,Ophthalmology,ACO
4577,"Aaron ,Sagiv,",8501 Wilshire Blvd,Beverly Hills,Los Angeles,CA,90211,CA - Anthem BC,Pediatrics,ACO
4578,"Aarons ,David,R",1121 W Vine St,Lodi,San Joaquin,CA,95240,CA - Anthem BC,Gastroenterology,ACO
4579,"Aarons ,David,R",1121 W Vine St,Lodi,San Joaquin,CA,95240,CA - Anthem BC,Internal Medicine,ACO
4580,Aarons David R,1121 W Vine St,Lodi,San Joaquin,CA,95240,CA - Anthem BC,Gastroenterology,ACO
4581,Aasha Pediatrics Inc,1569 Lexann Ave,San Jose,Santa Clara,CA,95121,CA - Anthem BC,Pediatrics,ACO
4582,"Abad ,Jose,F",2660 W Covell Blvd,Davis,Yolo,CA,95616,CA - Anthem BC,Family Practice,ACO
4583,Abalos Anna,701 Pleasant Grove Blvd,Roseville,Placer,CA,95678,CA - Anthem BC,Family Practice,ACO
4584,"Abate ,Lorraine,E",10470 Old Placerville Rd,Sacramento,Sacramento,CA,95827,CA - Anthem BC,Emergency Medicine,ACO
4585,"Abate ,Lorraine,E",10470 Old Placerville Rd,Sacramento,Sacramento,CA,95827,CA - Anthem BC,Family Practice,ACO
4586,"Abate ,Lorraine,E",11795 Education St,Auburn,Placer,CA,95602,CA - Anthem BC,Emergency Medicine,ACO
4587,"Abate ,Lorraine,E",11795 Education St,Auburn,Placer,CA,95602,CA - Anthem BC,Family Practice,ACO
4588,"Abate ,Lorraine,E",1201 Alhambra Blvd,Sacramento,Sacramento,CA,95816,CA - Anthem BC,Emergency Medicine,ACO
4589,"Abate ,Lorraine,E",1201 Alhambra Blvd,Sacramento,Sacramento,CA,95816,CA - Anthem BC,Family Practice,ACO
4590,"Abate ,Lorraine,E",2 Medical Plaza Dr,Roseville,Placer,CA,95661,CA - Anthem BC,Emergency Medicine,ACO
4591,"Abate ,Lorraine,E",2 Medical Plaza Dr,Roseville,Placer,CA,95661,CA - Anthem BC,Family Practice,ACO
4592,"Abate ,Lorraine,E",2020 Sutter Pl,Davis,Yolo,CA,95616,CA - Anthem BC,Emergency Medicine,ACO
4593,"Abate ,Lorraine,E",2020 Sutter Pl,Davis,Yolo,CA,95616,CA - Anthem BC,Family Practice,ACO
4594,"Abate ,Lorraine,E",2575 E Bidwell St,Folsom,Sacramento,CA,95630,CA - BS of California,Family Practice,ACO
4595,"Abate ,Lorraine,E",2702 Low Ct,Fairfield,Solano,CA,94534,CA - Anthem BC,Emergency Medicine,ACO
4596,"Abate ,Lorraine,E",2702 Low Ct,Fairfield,Solano,CA,94534,CA - Anthem BC,Family Practice,ACO
4597,"Abate ,Lorraine,E",2801 K St,Sacramento,Sacramento,CA,95816,CA - Anthem BC,Emergency Medicine,ACO
4598,"Abate ,Lorraine,E",2801 K St,Sacramento,Sacramento,CA,95816,CA - Anthem BC,Family Practice,ACO
4599,"Abate ,Lorraine,E",8170 Laguna Blvd,Elk Grove,Sacramento,CA,95758,CA - Anthem BC,Emergency Medicine,ACO
4600,"Abate ,Lorraine,E",8170 Laguna Blvd,Elk Grove,Sacramento,CA,95758,CA - Anthem BC,Family Practice,ACO
4601,"Abate ,Michael,J",1020 29th St,Sacramento,Sacramento,CA,95816,CA - Anthem BC,Internal Medicine,ACO
4602,"Abbas ,Abul,K",505 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Anatomic Pathology,ACO
4603,"Abbas ,Humayun,",1541 Florida Ave,Modesto,Stanislaus,CA,95350,CA - Anthem BC,Internal Medicine,ACO
4604,Abbas Kashani MD Inc,1234 E North St,Manteca,San Joaquin,CA,95336,CA - Anthem BC,Otolaryngology (ENT),ACO
4605,"Abbassi ,Shahram,",3800 Janes Rd,Arcata,Humboldt,CA,95521,CA - Anthem BC,Anesthesiology,ACO
4606,"Abbassi ,Shahram,",3800 Janes Rd,Arcata,Humboldt,CA,95521,CA - Anthem BC,Anesthesiology Pain Management,ACO
4607,"Abbott ,Myles,B",2999 Regent St,Berkeley,Alameda,CA,94705,CA - Anthem BC,Pediatrics,ACO
4608,"Abbott ,Myles,B",96 Davis Rd,Orinda,Contra Costa,CA,94563,CA - Anthem BC,Pediatrics,ACO
4609,ABC Children S Clinic Inc,26730 Towne Centre Dr,Foothill Ranch,Orange,CA,92610,CA - Anthem BC,Pediatrics,ACO
4610,"Abdalla ,Basmah,A",200 Ucla Medical Plz,Los Angeles,Los Angeles,CA,90095,CA - Anthem BC,Nephrology,ACO
4611,"Abdel Aziz ,Salwa,",100 Stein Plz,Los Angeles,Los Angeles,CA,90095,CA - Anthem BC,Ophthalmology,ACO
4612,"Abdel-Malek ,Michael,E",4050 Dublin Blvd,Dublin,Alameda,CA,94568,CA - Anthem BC,Internal Medicine,ACO
4613,"Abdel-Malek ,Michael,E",610 Frederick St,Santa Cruz,Santa Cruz,CA,95062,CA - Anthem BC,Internal Medicine,ACO
4614,"Abdelnour ,Shadi,",99 N La Cienega Blvd,Beverly Hills,Los Angeles,CA,90211,CA - Anthem BC,Endrocrinology,ACO
4615,"Abdian ,Loghman,",1107 S Alvarado St,Los Angeles,Los Angeles,CA,90006,CA - Anthem BC,Family Practice,ACO
4616,"Abdian ,Loghman,",1107 S Alvarado St,Los Angeles,Los Angeles,CA,90006,CA - Anthem BC,General Practice,ACO
4617,"Abdoo ,David,C",110 Harden Pkwy,Salinas,Monterey,CA,93906,CA - Anthem BC,Podiatrist - General Practice,ACO
4618,"Abdou ,Sherif,R",45280 Seeley Dr,La Quinta,Riverside,CA,92253,CA - Anthem BC,Internal Medicine,ACO
4619,"Abdou ,Sherif,R",72780 Country Club Dr,Rancho Mirage,Riverside,CA,92270,CA - Anthem BC,Internal Medicine,ACO
4620,"Abdullah ,Edward,E",1245 Wilshire Blvd,Los Angeles,Los Angeles,CA,90017,CA - Anthem BC,Cardiac Electrophysiology,ACO
4621,"Abdullah ,Edward,E",1245 Wilshire Blvd,Los Angeles,Los Angeles,CA,90017,CA - Anthem BC,Cardiovascular Disease,ACO
4622,"Abdullah ,Edward,E",1245 Wilshire Blvd,Los Angeles,Los Angeles,CA,90017,CA - Anthem BC,Internal Medicine,ACO
4623,"Abedi ,Mehrdad,",2261 Douglas Blvd,Roseville,Placer,CA,95661,CA - Anthem BC,Hematology & Oncology,ACO
4624,"Abedi ,Mehrdad,",2261 Douglas Blvd,Roseville,Placer,CA,95661,CA - Anthem BC,Internal Medicine,ACO
4625,"Abedi ,Mehrdad,",4501 X St,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Hematology & Oncology,ACO
4626,"Abedi ,Mehrdad,",4501 X St,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Internal Medicine,ACO
4627,"Abella ,Elma,F",1500 Expo Pkwy,Sacramento,Sacramento,CA,95815,CA - BS of California,Nuclear Medicine,ACO
4628,"Abels ,Gloria,B",2280 Harrison Ave,Eureka,Humboldt,CA,95501,CA - Anthem BC,Internal Medicine,ACO
4629,"Abelson ,Jesse,F",505 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Internal Medicine,ACO
4630,"Abend ,Lawrence,K",827 Deep Valley Dr,Rolling Hills Estates,Los Angeles,CA,90274,CA - Anthem BC,Podiatrist - General Practice,ACO
4631,Abend Lawrence K,827 Deep Valley Dr,Rolling Hills Estates,Los Angeles,CA,90274,CA - Anthem BC,Podiatrist - General Practice,ACO
4632,"Aberle ,Denise,R",757 Westwood Plz,Los Angeles,Los Angeles,CA,90095,CA - Anthem BC,Diagnostic Radiology,ACO
4633,"Aberle ,Denise,R",757 Westwood Plz,Los Angeles,Los Angeles,CA,90095,CA - Anthem BC,Radiology,ACO
4634,"Abeysekera ,Heshani,N",6555 Coyle Ave,Carmichael,Sacramento,CA,95608,CA - Anthem BC,Pediatrics,ACO
4635,"Abeyta ,Paul,N",1501 Trousdale Dr,Burlingame,San Mateo,CA,94010,CA - Anthem BC,Orthopedic Surgery,ACO
4636,"Abiezzi ,Salwan,S",795 El Camino Real,Palo Alto,Santa Clara,CA,94301,CA - Anthem BC,Internal Medicine,ACO
4637,"Ablin ,Arthur,R",1701 Divisadero St,San Francisco,San Francisco,CA,94115,CA - Anthem BC,Pediatric Hematology-Oncology,ACO
4638,"Ablin ,Arthur,R",1701 Divisadero St,San Francisco,San Francisco,CA,94115,CA - Anthem BC,Pediatrics,ACO
4639,"Ablin ,Arthur,R",505 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Pediatric Hematology-Oncology,ACO
4640,"Ablin ,Arthur,R",505 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Pediatrics,ACO
4641,"Aboian ,Edouard,",1501 Trousdale Dr,Burlingame,San Mateo,CA,94010,CA - Anthem BC,Vascular Surgery,ACO
4642,"Aboian ,Mariam,S",505 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Radiology,ACO
4643,"Abola ,Amy,S",16950 Via Tazon,San Diego,San Diego,CA,92127,CA - Anthem BC,Family Practice,ACO
4644,"Aboulhosn ,Jamil,A",100 Ucl Mdcl Plz St 630,Los Angeles,Los Angeles,CA,90024,CA - Anthem BC,Cardiovascular Disease,ACO
4645,"Aboulhosn ,Jamil,A",100 Ucla Medical Plz,Los Angeles,Los Angeles,CA,90024,CA - Anthem BC,Cardiovascular Disease,ACO
4646,"Aboulhosn ,Jamil,A",200 Ucla Medical Plz,Los Angeles,Los Angeles,CA,90095,CA - Anthem BC,Cardiovascular Disease,ACO
4647,"Abraham ,Reginald,G",11100 Warner Ave,Fountain Valley,Orange,CA,92708,CA - Anthem BC,"Surgery, Thoracic Cardiovascular",ACO
4648,"Abraham ,Reginald,G",11100 Warner Ave,Fountain Valley,Orange,CA,92708,CA - Anthem BC,Thoracic Surgery,ACO
4649,Abraham Reginald G,11100 Warner Ave,Fountain Valley,Orange,CA,92708,CA - Anthem BC,"Surgery, Thoracic Cardiovascular",ACO
4650,"Abrahm ,Donald,R",1525 Superior Ave,Newport Beach,Orange,CA,92663,CA - Anthem BC,Gastroenterology,ACO
4651,"Abramowitz ,Basil,S",10243 Genetic Center Dr,San Diego,San Diego,CA,92121,CA - Anthem BC,Family Practice,ACO
4652,"Abramowitz ,Bryan,L",4282 Genesee Ave,San Diego,San Diego,CA,92117,CA - Anthem BC,Internal Medicine,ACO
4653,"Abrams ,Carina Joy,B",1340 Lake Blvd,Davis,Yolo,CA,95616,CA - Anthem BC,Clinic/Center - Physical Therapy,ACO
4654,"Abrams ,Carina Joy,B",1340 Lake Blvd,Davis,Yolo,CA,95616,CA - Anthem BC,Physical Therapist,ACO
4655,"Abrams ,Gary,M",400 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Neurology,ACO
4656,"Abrams ,Howard,F",2841 Lomita Blvd,Torrance,Los Angeles,CA,90505,CA - Anthem BC,Cardiovascular Disease,ACO
4657,"Abrams ,Howard,F",2841 Lomita Blvd,Torrance,Los Angeles,CA,90505,CA - Anthem BC,Internal Medicine - Interventional Cardiology,ACO
4658,"Abramson ,Bruce,P",1017 2nd St,Santa Rosa,Sonoma,CA,95404,CA - Anthem BC,Optometrist,PCMH
4659,"Abramson ,Bruce,P",1383 N McDowell Blvd,Petaluma,Sonoma,CA,94954,CA - Anthem BC,Optometrist,PCMH
4660,"Abramson ,Bruce,P",720 4th St,Santa Rosa,Sonoma,CA,95404,CA - Anthem BC,Optometrist,PCMH
4661,"Abramson ,Lisa,",2801 K St,Sacramento,Sacramento,CA,95816,CA - BS of California,Pediatric Surgery,ACO
4662,"Abramson ,Lisa,",2801 K St,Sacramento,Sacramento,CA,95816,CA - BS of California,"Surgery, General Vascular",ACO
4663,"Abtin ,Fereidoun,",100 Ucla Medical Plz,Los Angeles,Los Angeles,CA,90024,CA - Anthem BC,Diagnostic Radiology,ACO
4664,"Abtin ,Fereidoun,",200 Ucla Medical Plz,Los Angeles,Los Angeles,CA,90095,CA - Anthem BC,Diagnostic Radiology,ACO
4665,"Abtin ,Fereidoun,",757 Westwood Plz,Los Angeles,Los Angeles,CA,90095,CA - Anthem BC,Diagnostic Radiology,ACO
4666,"Abu Qaoud ,Mohamed,",751 Medical Center Ct,Chula Vista,San Diego,CA,91911,CA - Anthem BC,Internal Medicine,ACO
4667,"Abuabara ,Faud,",15720 Winchester Blvd,Los Gatos,Santa Clara,CA,95030,CA - Anthem BC,Dermatology,ACO
4668,"Abuabara ,Faud,",401 Old San Francisco Rd,Sunnyvale,Santa Clara,CA,94086,CA - Anthem BC,Dermatology,ACO
4669,"Abuabara ,Faud,",701 E El Camino Real,Mountain View,Santa Clara,CA,94040,CA - Anthem BC,Dermatology,ACO
4670,"Abuabara ,Katrina,E",1701 Divisadero St,San Francisco,San Francisco,CA,94115,CA - Anthem BC,Dermatology,ACO
4671,"Abuav ,Rachel,",99 N La Cienega Blvd,Beverly Hills,Los Angeles,CA,90211,CA - Anthem BC,Dermatology,ACO
4672,"Abuershaid ,Hana,N",1 Medical Plaza Dr,Roseville,Placer,CA,95661,CA - Anthem BC,General Practice,ACO
4673,"Abuershaid ,Hana,N",1 Medical Plaza Dr,Roseville,Placer,CA,95661,CA - Anthem BC,Internal Medicine,ACO
4674,"Abuershaid ,Hana,N",1020 29th St,Sacramento,Sacramento,CA,95816,CA - Anthem BC,General Practice,ACO
4675,"Abuershaid ,Hana,N",1020 29th St,Sacramento,Sacramento,CA,95816,CA - Anthem BC,Internal Medicine,ACO
4676,"Abundis ,Rebecca,",1756 N Main St,Salinas,Monterey,CA,93906,CA - Anthem BC,Internal Medicine,ACO
4677,"Abundis ,Rebecca,",5 Lower Ragsdale Dr,Monterey,Monterey,CA,93940,CA - Anthem BC,Internal Medicine,ACO
4678,"Abunto ,Maria,V",1001 Sneath Ln,San Bruno,San Mateo,CA,94066,CA - Anthem BC,Pediatrics,ACO
4679,Abunto Tolentino Pediatrics Inc,1001 Sneath Ln,San Bruno,San Mateo,CA,94066,CA - Anthem BC,Pediatrics,ACO
4680,Abunto Tolentino Pediatrics Inc,5528 Pacheco Blvd,Pacheco,Contra Costa,CA,94553,CA - Anthem BC,Pediatrics,ACO
4681,"Abye ,Minaleshoa,H",2151 W Grant Line Rd,Tracy,San Joaquin,CA,95377,CA - Anthem BC,Pediatrics,ACO
4682,"Abye ,Minaleshoa,H",2505 W Hammer Ln,Stockton,San Joaquin,CA,95209,CA - Anthem BC,Pediatrics,ACO
4683,Acacia Family Medical Group,400 E Romie Ln,Salinas,Monterey,CA,93901,CA - Anthem BC,Family Practice,ACO
4684,Acacia Family Medical Group,8036 San Miguel Canyon Rd,Salinas,Monterey,CA,93907,CA - Anthem BC,Family Practice,ACO
4685,Academic OB GYN Physicians,101 The City Dr S,Orange,Orange,CA,92868,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4686,Academic OB GYN Physicians,11190 Warner Ave,Fountain Valley,Orange,CA,92708,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4687,Academic OB GYN Physicians,1200 N State St,Los Angeles,Los Angeles,CA,90033,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4688,Academic OB GYN Physicians,1451 Irvine Blvd,Tustin,Orange,CA,92780,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4689,Academic OB GYN Physicians,15355 Brookhurst St,Westminster,Orange,CA,92683,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4690,Academic OB GYN Physicians,1640 Newport Blvd,Costa Mesa,Orange,CA,92627,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4691,Academic OB GYN Physicians,200 S Manchester Ave,Orange,Orange,CA,92868,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4692,Academic OB GYN Physicians,2801 Atlantic Ave,Long Beach,Los Angeles,CA,90806,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4693,Academic OB GYN Physicians,300 W Carl Karcher Way,Anaheim,Orange,CA,92801,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4694,Academic OB GYN Physicians,701 E 28th St,Long Beach,Los Angeles,CA,90806,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4695,Academic OB GYN Physicians,790 E Willow St,Long Beach,Los Angeles,CA,90806,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4696,Academic OB GYN Physicians,800 N Main St,Orange,Orange,CA,92868,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4697,Academic OB GYN Physicians,800 N Main St,Santa Ana,Orange,CA,92701,CA - Anthem BC,Multi-Specialty Clinic or other Group Practice,ACO
4698,Academy Physicians of Derm Med Grp,10515 Balboa Blvd,Granada Hills,Los Angeles,CA,91344,CA - Anthem BC,Dermatology,ACO
4699,Access Family Healthcare,275 W Laurel Dr,Salinas,Monterey,CA,93906,CA - Anthem BC,Family Practice,ACO
4700,Acclaim Medical Care Inc,304 W Latham Ave,Hemet,Riverside,CA,92543,CA - Anthem BC,Internal Medicine,ACO
4701,"Accurso ,Erin,C",401 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Psychologist - Clinical,ACO
4702,"Acevedo Espinoza ,Sonia,M",2660 W Covell Blvd,Davis,Yolo,CA,95616,CA - Anthem BC,Family Practice,ACO
4703,"Acharya ,Bibhav,",401 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Psychiatry,ACO
4704,"Acharya ,Nisha,",95 Kirkham St,San Francisco,San Francisco,CA,94122,CA - Anthem BC,Ophthalmology,ACO
4705,Achieve Med Grp,23000 Crenshaw Blvd,Torrance,Los Angeles,CA,90505,CA - BS of California,Internal Medicine,ACO
4706,"Achtel ,Robert,A",2261 Douglas Blvd,Roseville,Placer,CA,95661,CA - Anthem BC,Cardiovascular Disease,ACO
4707,"Achtel ,Robert,A",2261 Douglas Blvd,Roseville,Placer,CA,95661,CA - Anthem BC,Pediatric Cardiology,ACO
4708,"Achtel ,Robert,A",2261 Douglas Blvd,Roseville,Placer,CA,95661,CA - Anthem BC,Pediatrics,ACO
4709,Acjn Medical Corporation,3838 California St,San Francisco,San Francisco,CA,94118,CA - Anthem BC,Gastroenterology,ACO
4710,"Ackerman ,Anne,L",99 N La Cienega Blvd,Beverly Hills,Los Angeles,CA,90211,CA - Anthem BC,Urology,ACO
4711,"Acosta ,Luis,A",1107 W Poplar Ave,Porterville,Tulare,CA,93257,CA - Anthem BC,OB-Gynecology,PCMH
4712,"Action ,Thomas,",2801 Silver St,Anderson,Shasta,CA,96007,CA - Anthem BC,Family Practice,ACO
4713,"Action ,Thomas,",8110 Laguna Blvd,Elk Grove,Sacramento,CA,95758,CA - Anthem BC,Family Practice,ACO
4714,"Acton ,Danielle,O",400 E Romie Ln,Salinas,Monterey,CA,93901,CA - Anthem BC,Family Practice,ACO
4715,"Acuna ,Christine,A",400 Parnassus Ave,San Francisco,San Francisco,CA,94143,CA - Anthem BC,Pediatrics,ACO
4716,"Adamczyk ,Peter,",20055 Lake Chabot Rd,Castro Valley,Alameda,CA,94546,CA - BS of California,Neurological Surgery,ACO
4717,"Adamczyk ,Peter,R",20055 Lake Chabot Rd,Castro Valley,Alameda,CA,94546,CA - Anthem BC,Neurology,ACO
4718,"Adamczyk ,Peter,R",20055 Lake Chabot Rd,Castro Valley,Alameda,CA,94546,CA - Anthem BC,Psychiatry,ACO
4719,"Adamczyk ,Peter,R",2333 Buchanan St,San Francisco,San Francisco,CA,94115,CA - Anthem BC,Neurology,ACO
4720,"Adamczyk ,Peter,R",2333 Buchanan St,San Francisco,San Francisco,CA,94115,CA - Anthem BC,Psychiatry,ACO
4721,"Adame ,Mark,J",1328 Natividad Rd,Salinas,Monterey,CA,93906,CA - Anthem BC,Family Practice,ACO
4722,"Adams ,Amy,E",610 Frederick St,Santa Cruz,Santa Cruz,CA,95062,CA - Anthem BC,Dermatology,ACO
4723,"Adams ,Amy,E",795 El Camino Real,Palo Alto,Santa Clara,CA,94301,CA - Anthem BC,Dermatology,ACO
4724,"Adams ,Anne,M",6444 Coyle Ave,Carmichael,Sacramento,CA,95608,CA - BS of California,Gynecology,ACO
4725,"Adams ,Auther,E",1000 Trancas St,Napa,Napa,CA,94558,CA - Anthem BC,OB-Gynecology,ACO
4726,"Adams ,Auther,E",27225 Calaroga Ave,Hayward,Alameda,CA,94545,CA - Anthem BC,OB-Gynecology,ACO
4727,"Adams ,Auther,E",321 Cherry Ln,Manteca,San Joaquin,CA,95337,CA - Anthem BC,OB-Gynecology,ACO
4728,"Adams ,Frances,K",7509 Madison Ave,Citrus Heights,Sacramento,CA,95610,CA - Anthem BC,Social Worker - Clinical,ACO
4729,"Adams ,Hugh,R",701 E 28th St,Long Beach,Los Angeles,CA,90806,CA - Anthem BC,Physical Medicine & Rehabilitation,ACO
4730,"Adams ,Joyce,A",2521 Stockton Blvd,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Adolescent Medicine,ACO
4731,"Adams ,Joyce,A",2521 Stockton Blvd,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Child Abuse Pediatric,ACO
4732,"Adams ,Joyce,A",2521 Stockton Blvd,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Pediatrics,ACO
4733,Adams Anne Marie,6444 Coyle Ave,Carmichael,Sacramento,CA,95608,CA - Anthem BC,OB-Gynecology,ACO
4734,"Adams Berry ,Kathy,L",6444 Coyle Ave,Carmichael,Sacramento,CA,95608,CA - BS of California,OB-Gynecology,ACO
4735,"Adamson ,Marie,H",16950 Via Tazon,San Diego,San Diego,CA,92127,CA - Anthem BC,Family Practice,ACO
4736,"Adamson ,Robert,M",2221 Stockton Blvd,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Cardiovascular Disease,ACO
4737,"Adamson ,Robert,M",2221 Stockton Blvd,Sacramento,Sacramento,CA,95817,CA - Anthem BC,General Surgery,ACO
4738,"Adamson ,Robert,M",2221 Stockton Blvd,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Thoracic Surgery,ACO
4739,"Adamson ,Robert,M",2221 Stockton Blvd,Sacramento,Sacramento,CA,95817,CA - Anthem BC,Vascular Surgery,ACO
4740,"Adamson ,Robert,M",8010 Frost St,San Diego,San Diego,CA,92123,CA - Anthem BC,Cardiovascular Disease,ACO
4741,"Adamson ,Robert,M",8010 Frost St,San Diego,San Diego,CA,92123,CA - Anthem BC,General Surgery,ACO
4742,"Adamson ,Robert,M",8010 Frost St,San Diego,San Diego,CA,92123,CA - Anthem BC,Thoracic Surgery,ACO
4743,"Adamson ,Robert,M",8010 Frost St,San Diego,San Diego,CA,92123,CA - Anthem BC,Vascular Surgery,ACO
4744,"Adamson ,Thomas,C",10670 Wexford St,San Diego,San Diego,CA,92131,CA - Anthem BC,Internal Medicine,ACO
4745,"Adamson ,Thomas,C",10670 Wexford St,San Diego,San Diego,CA,92131,CA - Anthem BC,Rheumatology,ACO
4746,"Adams-Plescia ,Robin,N",2288 Auburn Blvd,Sacramento,Sacramento,CA,95821,CA - Anthem BC,Certified Midwife,ACO
4747,"Adeeb ,Fareeda,N",275 Oconnor Dr,San Jose,Santa Clara,CA,95128,CA - Anthem BC,Pediatrics,ACO
4748,Adeeb Fareeda N,275 Oconnor Dr,San Jose,Santa Clara,CA,95128,CA - Anthem BC,Pediatrics,ACO
